Origin_airport,Destination_airport,Passengers,Seats,Distance,Destination_City,Origin_City
DAY,DOV,0,50,471,DOVER,DAYTON
TOL,DOV,0,50,471,DOVER,TOLEDO
BWI,DOV,0,50,65,DOVER,BALTIMORE
ATL,DOV,64,117,626,DOVER,ATLANTA
GSO,DOV,56,170,323,DOVER,GREENSBORO
AUS,DOV,0,50,1402,DOVER,AUSTIN
DOV,DOV,0,50,0,DOVER,DOVER
MYR,DOV,114,120,422,DOVER,MYRTLE BEACH
LBB,DOV,0,120,1511,DOVER,LUBBOCK
CAE,DOV,95,120,476,DOVER,COLUMBIA
NKX,DOV,0,50,2354,DOVER,SAN DIEGO
YIP,DOV,0,50,475,DOVER,DETROIT
EFD,DOV,0,56,1299,DOVER,HOUSTON
EWR,DOV,36,50,128,DOVER,NEWARK
SLC,DOV,0,50,1928,DOVER,SALT LAKE CITY
PHX,DOV,0,50,2063,DOVER,PHOENIX
LAN,DOV,24,50,539,DOVER,LANSING
CVS,DOV,0,50,1573,DOVER,CLOVIS
DFW,DOV,0,50,1279,DOVER,DALLAS
HUF,DOV,0,50,635,DOVER,TERRE HAUTE
BAD,DOV,0,50,1117,DOVER,SHREVEPORT
LSV,DOV,0,50,2161,DOVER,LAS VEGAS
TCM,DOV,0,50,2402,DOVER,TACOMA
BGR,DOV,0,50,520,DOVER,BANGOR
TIK,DOV,0,50,1232,DOVER,OKLAHOMA CITY
AVP,DOV,34,50,153,DOVER,SCRANTON
ELP,DOV,0,50,1805,DOVER,EL PASO
JAN,DOV,95,174,945,DOVER,JACKSON
CVG,DOV,0,50,495,DOVER,CINCINNATI
PIT,DOV,0,50,271,DOVER,PITTSBURGH
ILN,DOV,0,50,451,DOVER,WILMINGTON
IAD,DOV,0,174,108,DOVER,WASHINGTON
MHR,DOV,0,50,2446,DOVER,SACRAMENTO
TLH,DOV,120,174,785,DOVER,TALLAHASSEE
CLE,DOV,0,50,372,DOVER,CLEVELAND
EIL,DOV,0,50,3293,DOVER,FAIRBANKS
SNA,FAR,60,100,1431,FARGO,SANTA ANA
BNA,FAR,59,78,910,FARGO,NASHVILLE
PIT,FAR,91,100,939,FARGO,PITTSBURGH
MCO,FAR,245,298,1525,FARGO,ORLANDO
PHX,FAR,92,118,1225,FARGO,PHOENIX
SEA,FAR,91,146,1196,FARGO,SEATTLE
GEG,FAR,75,146,973,FARGO,SPOKANE
HNL,FAR,389,400,3807,FARGO,HONOLULU
BDL,FAR,99,100,1237,FARGO,HARTFORD
LGA,FAR,175,184,1217,FARGO,NEW YORK
ORD,FAR,39,146,557,FARGO,CHICAGO
DTW,FAR,100,146,739,FARGO,DETROIT
SFO,FAR,88,298,1450,FARGO,SAN FRANCISCO
SLC,FAR,74,100,865,FARGO,SALT LAKE CITY
CLE,FAR,45,108,833,FARGO,CLEVELAND
BWI,FAR,93,100,1147,FARGO,BALTIMORE
ANC,FAR,85,184,2297,FARGO,ANCHORAGE
PDX,FAR,137,184,1233,FARGO,PORTLAND
LAS,FAR,138,146,1205,FARGO,LAS VEGAS
MSP,FAR,1168,3294,223,FARGO,MINNEAPOLIS
FSD,FAR,3883,9114,230,FARGO,SIOUX FALLS
GTF,FAR,99,100,685,FARGO,GREAT FALLS
GFK,FAR,62,100,74,FARGO,GRAND FORKS
DCA,FAR,134,150,1143,FARGO,WASHINGTON
MOT,FAR,36,78,228,FARGO,MINOT
BOS,FAR,107,184,1304,FARGO,BOSTON
TPA,FAR,60,146,1519,FARGO,TAMPA
DLH,FAR,6,146,219,FARGO,DULUTH
CVG,FAR,34,100,819,FARGO,CINCINNATI
MKE,FAR,19,122,516,FARGO,MILWAUKEE
SAN,FAR,96,146,1452,FARGO,SAN DIEGO
BIL,FAR,22,100,565,FARGO,BILLINGS
BIS,FAR,68,122,187,FARGO,BISMARCK
MCI,FAR,44,143,537,FARGO,KANSAS CITY
GRR,FAR,31,100,619,FARGO,GRAND RAPIDS
AZO,FAR,59,100,642,FARGO,KALAMAZOO
RST,FAR,22,97,295,FARGO,ROCHESTER
SMF,FAR,69,146,1373,FARGO,SACRAMENTO
EKO,FAR,119,119,1033,FARGO,ELKO
LNK,FAR,32,147,419,FARGO,LINCOLN
CID,FAR,0,50,429,FARGO,CEDAR RAPIDS
SUX,FAR,18,108,312,FARGO,SIOUX CITY
OMA,FAR,73,100,390,FARGO,OMAHA
DAY,FAR,60,78,796,FARGO,DAYTON
MEM,FAR,58,112,893,FARGO,MEMPHIS
CMH,FAR,81,100,846,FARGO,COLUMBUS
HOU,FAR,61,100,1194,FARGO,HOUSTON
ABQ,FAR,73,143,964,FARGO,ALBUQUERQUE
LAX,FAR,243,288,1440,FARGO,LOS ANGELES
EWR,FAR,126,150,1206,FARGO,NEWARK
RNO,FAR,74,146,1261,FARGO,RENO
ATL,FAR,81,100,1123,FARGO,ATLANTA
BUF,FAR,84,100,926,FARGO,BUFFALO
DSM,FAR,45,100,403,FARGO,DES MOINES
MSN,FAR,97,146,449,FARGO,MADISON
SJC,FAR,90,150,1440,FARGO,SAN JOSE
FCA,FAR,70,100,818,FARGO,KALISPELL
FAI,FAR,85,184,2250,FARGO,FAIRBANKS
RAP,FAR,24,100,362,FARGO,RAPID CITY
PHL,FAR,73,149,1185,FARGO,PHILADELPHIA
MBS,FAR,62,100,663,FARGO,SAGINAW
GRB,FAR,72,100,452,FARGO,GREEN BAY
MSO,FAR,149,149,816,FARGO,MISSOULA
COS,FAR,113,149,688,FARGO,COLORADO SPRINGS
CLT,FAR,80,100,1153,FARGO,CHARLOTTE
PIA,FAR,0,50,559,FARGO,PEORIA
DFW,FAR,111,125,967,FARGO,DALLAS
MSY,FAR,154,167,1219,FARGO,NEW ORLEANS
IND,FAR,118,150,726,FARGO,INDIANAPOLIS
MIA,FAR,119,149,1716,FARGO,MIAMI
BZN,FAR,41,149,690,FARGO,BOZEMAN
LSE,FAR,0,78,342,FARGO,LA CROSSE
STL,FAR,39,100,652,FARGO,ST. LOUIS
ATW,FAR,0,50,442,FARGO,APPLETON
ILN,FAR,0,50,829,FARGO,WILMINGTON
SAT,FAR,104,124,1202,FARGO,SAN ANTONIO
JMS,FAR,30,32,88,FARGO,JAMESTOWN
FAR,FAR,0,50,0,FARGO,FARGO
ICT,FAR,0,50,640,FARGO,WICHITA
ALB,FAR,0,50,1162,FARGO,ALBANY
LRD,FAR,185,185,1344,FARGO,LAREDO
AEX,FAR,112,148,1099,FARGO,ALEXANDRIA
HSV,FAR,0,50,995,FARGO,HUNTSVILLE
BTV,FAR,0,50,1153,FARGO,BURLINGTON
OAK,FAR,0,72,1439,FARGO,OAKLAND
OKC,FAR,48,173,796,FARGO,OKLAHOMA CITY
TYS,FAR,120,122,1013,FARGO,KNOXVILLE
BGR,FAR,115,149,1351,FARGO,BANGOR
FNT,FAR,94,100,696,FARGO,FLINT
MWA,FAR,114,148,747,FARGO,MARION
CDC,FAR,117,148,1045,FARGO,CEDAR CITY
BRD,FAR,6,34,132,FARGO,BRAINERD
RDU,FAR,97,124,1203,FARGO,RALEIGH
SHV,FAR,90,148,1011,FARGO,SHREVEPORT
RWI,FAR,0,50,1239,FARGO,ROCKY MOUNT
KTN,FAR,148,346,1606,FARGO,KETCHIKAN
SAV,FAR,100,124,1313,FARGO,SAVANNAH
GLH,FAR,97,124,976,FARGO,GREENVILLE
EAU,FAR,0,50,293,FARGO,EAU CLAIRE
MHK,FAR,32,50,537,FARGO,MANHATTAN
GYY,FAR,0,50,592,FARGO,GARY
EKI,FAR,0,50,644,FARGO,ELKHART
VWL,FAR,0,50,100,FARGO,BEMIDJI
LAN,FAR,55,100,664,FARGO,LANSING
SZL,FAR,75,173,589,FARGO,WARRENSBURG
BMI,FAR,115,124,594,FARGO,BLOOMINGTON
XNA,FAR,0,50,745,FARGO,FAYETTEVILLE
RFD,FAR,0,50,501,FARGO,ROCKFORD
CRW,FAR,0,50,972,FARGO,CHARLESTON
FWA,FAR,0,50,709,FARGO,FORT WAYNE
FLL,FAR,147,148,1703,FARGO,FORT LAUDERDALE
ALO,FAR,110,124,371,FARGO,WATERLOO
HUF,FAR,87,100,703,FARGO,TERRE HAUTE
YNG,FAR,109,124,891,FARGO,YOUNGSTOWN
SGF,FAR,108,148,690,FARGO,SPRINGFIELD
HLN,FAR,42,50,719,FARGO,HELENA
LBB,FAR,0,50,951,FARGO,LUBBOCK
LAR,FAR,115,124,586,FARGO,LARAMIE
BFL,FAR,0,50,1397,FARGO,BAKERSFIELD
MDT,FAR,32,68,1104,FARGO,HARRISBURG
LEX,FAR,0,50,873,FARGO,LEXINGTON
CAK,FAR,0,50,870,FARGO,AKRON
LAN,FNT,91,110,45,FLINT,LANSING
JFK,FNT,2,110,539,FLINT,NEW YORK
DAY,FNT,2015,3132,213,FLINT,DAYTON
EWR,FNT,13,110,518,FLINT,NEWARK
BWI,FNT,25,108,452,FLINT,BALTIMORE
ORD,FNT,819,1180,223,FLINT,CHICAGO
DFW,FNT,10,108,1003,FLINT,DALLAS
MKG,FNT,0,36,127,FLINT,MUSKEGON
CMH,FNT,26,110,210,FLINT,COLUMBUS
AZO,FNT,12,36,105,FLINT,KALAMAZOO
PHL,FNT,27,103,490,FLINT,PHILADELPHIA
GRR,FNT,185,284,91,FLINT,GRAND RAPIDS
PIT,FNT,744,3346,249,FLINT,PITTSBURGH
DTW,FNT,52,103,56,FLINT,DETROIT
DBQ,FNT,0,36,357,FLINT,DUBUQUE
TVC,FNT,6,46,153,FLINT,TRAVERSE CITY
MBS,FNT,4,30,43,FLINT,SAGINAW
CLE,FNT,18,60,145,FLINT,CLEVELAND
SAN,FNT,85,126,1945,FLINT,SAN DIEGO
STL,FNT,29,151,452,FLINT,ST. LOUIS
FWA,FNT,0,50,156,FLINT,FORT WAYNE
MCO,FNT,526,1227,1011,FLINT,ORLANDO
CVG,FNT,0,100,275,FLINT,CINCINNATI
MKE,FNT,48,100,211,FLINT,MILWAUKEE
FLL,FNT,87,100,1182,FLINT,FORT LAUDERDALE
DCA,FNT,57,100,451,FLINT,WASHINGTON
ATL,FNT,5740,10235,644,FLINT,ATLANTA
ALB,FNT,92,125,505,FLINT,ALBANY
TPA,FNT,139,149,1036,FLINT,TAMPA
CWA,FNT,14,34,321,FLINT,WAUSAU
ATW,FNT,5,34,256,FLINT,APPLETON
ROA,FNT,9,34,437,FLINT,ROANOKE
ROC,FNT,22,34,307,FLINT,ROCHESTER
MQT,FNT,36,37,310,FLINT,MARQUETTE
EVV,FNT,21,34,394,FLINT,EVANSVILLE
DSM,FNT,63,69,518,FLINT,DES MOINES
PVD,FNT,36,110,636,FLINT,PROVIDENCE
YNG,FNT,3,34,197,FLINT,YOUNGSTOWN
MSP,FNT,58,100,491,FLINT,MINNEAPOLIS
RFD,FNT,15,34,278,FLINT,ROCKFORD
CMI,FNT,7,68,310,FLINT,CHAMPAIGN
MEM,FNT,0,50,641,FLINT,MEMPHIS
MSN,FNT,84,100,283,FLINT,MADISON
MIA,FNT,92,100,1200,FLINT,MIAMI
BMI,FNT,14,34,318,FLINT,BLOOMINGTON
LIT,FNT,0,50,729,FLINT,LITTLE ROCK
LAS,FNT,166,170,1733,FLINT,LAS VEGAS
BNA,FNT,0,50,497,FLINT,NASHVILLE
SNA,FNT,126,150,1946,FLINT,SANTA ANA
CRW,FNT,18,34,336,FLINT,CHARLESTON
HOU,FNT,0,50,1119,FLINT,HOUSTON
ELP,FNT,0,50,1457,FLINT,EL PASO
CAK,FNT,0,34,185,FLINT,AKRON
ERI,FNT,2,34,192,FLINT,ERIE
CLT,FNT,172,200,555,FLINT,CHARLOTTE
SYR,FNT,0,50,387,FLINT,SYRACUSE
OSH,FNT,140,170,252,FLINT,OSHKOSH
GSP,FNT,35,100,563,FLINT,GREENVILLE
GSO,FNT,55,100,516,FLINT,GREENSBORO
BRO,FNT,0,50,1408,FLINT,BROWNSVILLE
IND,FNT,0,50,260,FLINT,INDIANAPOLIS
SBN,FNT,10,34,158,FLINT,SOUTH BEND
MCI,FNT,16,100,625,FLINT,KANSAS CITY
TYS,FNT,4,34,494,FLINT,KNOXVILLE
BUF,FNT,1,69,254,FLINT,BUFFALO
ELM,FNT,7,34,354,FLINT,ELMIRA
LRD,FNT,0,50,1381,FLINT,LAREDO
BOS,FNT,79,110,649,FLINT,BOSTON
JAX,FNT,75,110,868,FLINT,JACKSONVILLE
MOR,FNT,0,50,469,FLINT,MORRISTOWN
BGM,FNT,30,34,400,FLINT,BINGHAMTON
LEX,FNT,0,50,343,FLINT,LEXINGTON
MSY,FNT,100,100,965,FLINT,NEW ORLEANS
ILN,FNT,0,50,239,FLINT,WILMINGTON
SHV,FNT,0,50,911,FLINT,SHREVEPORT
PWM,FNT,90,100,678,FLINT,PORTLAND
RIC,FNT,71,100,507,FLINT,RICHMOND
GRB,FNT,65,110,244,FLINT,GREEN BAY
APN,FNT,0,50,146,FLINT,ALPENA
PIA,FNT,0,50,346,FLINT,PEORIA
TOL,FNT,0,50,95,FLINT,TOLEDO
LBF,FNT,0,50,880,FLINT,NORTH PLATTE
IRK,FNT,0,50,497,FLINT,KIRKSVILLE
MHT,FNT,116,124,623,FLINT,MANCHESTER
GYY,FNT,0,50,210,FLINT,GARY
FNT,FNT,99,174,0,FLINT,FLINT
COU,FNT,0,50,528,FLINT,COLUMBIA
PAH,FNT,0,50,487,FLINT,PADUCAH
BDL,FNT,120,125,569,FLINT,HARTFORD
CSV,FNT,0,50,489,FLINT,CROSSVILLE
BTV,FNT,0,50,540,FLINT,BURLINGTON
FAR,FNT,108,141,696,FLINT,FARGO
DLH,FNT,0,50,493,FLINT,DULUTH
TUS,FNT,0,120,1660,FLINT,TUCSON
OMA,FNT,100,173,634,FLINT,OMAHA
OKC,FNT,0,50,907,FLINT,OKLAHOMA CITY
LNK,FNT,0,50,686,FLINT,LINCOLN
ICT,FNT,0,50,810,FLINT,WICHITA
RDU,FNT,115,148,556,FLINT,RALEIGH
SGF,FNT,0,50,645,FLINT,SPRINGFIELD
CHA,FNT,0,50,553,FLINT,CHATTANOOGA
ITH,FNT,11,34,372,FLINT,ITHACA
FOE,FNT,0,50,682,FLINT,TOPEKA
CHO,FNT,12,34,434,FLINT,CHARLOTTESVILLE
LAX,FNT,124,124,1964,FLINT,LOS ANGELES
DCU,FNT,0,50,599,FLINT,DECATUR
BGR,FNT,47,50,754,FLINT,BANGOR
AVP,FNT,33,50,427,FLINT,SCRANTON
BWG,FNT,0,50,438,FLINT,BOWLING GREEN
XNA,FNT,0,50,727,FLINT,FAYETTEVILLE
FSD,FNT,0,50,656,FLINT,SIOUX FALLS
SKY,FNT,0,50,120,FLINT,SANDUSKY
ADM,FNT,0,50,932,FLINT,ARDMORE
MDT,FNT,36,76,409,FLINT,HARRISBURG
BHM,FNT,43,50,669,FLINT,BIRMINGHAM
MGM,FNT,0,50,750,FLINT,MONTGOMERY
HSV,FNT,0,50,597,FLINT,HUNTSVILLE
HUF,FNT,0,50,305,FLINT,TERRE HAUTE
SLN,FNT,0,50,782,FLINT,SALINA
BIL,HVR,15,95,198,HAVRE,BILLINGS
ABQ,HOB,14,19,254,HOBBS,ALBUQUERQUE
CNM,HOB,40,1083,66,HOBBS,CARLSBAD
ROW,HOB,2,418,87,HOBBS,ROSWELL
LBB,HOB,0,50,105,HOBBS,LUBBOCK
CVN,HOB,6,912,120,HOBBS,CLOVIS
HOB,HOB,7,19,0,HOBBS,HOBBS
FMN,HOB,0,19,399,HOBBS,FARMINGTON
MAF,HOB,0,50,79,HOBBS,MIDLAND
RUI,HOB,91,162,149,HOBBS,RUIDOSO
LRD,HUM,0,50,553,HOUMA,LAREDO
IAH,HUM,0,50,283,HOUMA,HOUSTON
PIR,HON,0,19,102,HURON,PIERRE
MCO,HON,151,170,1442,HURON,ORLANDO
ORD,HON,0,38,547,HURON,CHICAGO
MSP,HON,7,76,249,HURON,MINNEAPOLIS
BKX,HON,92,893,70,HURON,BROOKINGS
LAS,HON,124,170,1060,HURON,LAS VEGAS
FSD,HON,0,50,93,HURON,SIOUX FALLS
MSY,HON,76,189,1084,HURON,NEW ORLEANS
OMA,HON,7,19,243,HURON,OMAHA
HON,HON,0,19,0,HURON,HURON
COS,HON,190,240,510,HURON,COLORADO SPRINGS
BUF,HON,0,50,980,HURON,BUFFALO
ABR,HON,418,1350,74,HURON,ABERDEEN
CYS,HON,13,30,402,HURON,CHEYENNE
BFF,HON,19,30,322,HURON,SCOTTSBLUFF
EAR,HON,14,19,255,HURON,KEARNEY
LBF,HON,4,19,257,HURON,NORTH PLATTE
IDA,LGU,0,50,120,LOGAN,IDAHO FALLS
SLC,LGU,0,50,69,LOGAN,SALT LAKE CITY
PHX,LGU,0,150,576,LOGAN,PHOENIX
SJC,LGU,114,136,618,LOGAN,SAN JOSE
LAS,LGU,120,150,432,LOGAN,LAS VEGAS
RNO,LGU,113,136,445,LOGAN,RENO
FAT,LGU,114,150,545,LOGAN,FRESNO
MLU,LGU,107,136,1263,LOGAN,MONROE
EUG,LGU,126,136,598,LOGAN,EUGENE
PUW,LGU,110,136,430,LOGAN,PULLMAN
DRO,LGU,27,30,388,LOGAN,DURANGO
ELP,LGU,118,136,752,LOGAN,EL PASO
BHM,LGU,0,168,1481,LOGAN,BIRMINGHAM
CLL,LGU,117,136,1157,LOGAN,COLLEGE STATION
MIA,MCN,142,185,517,MACON,MIAMI
FLL,MCN,85,149,502,MACON,FORT LAUDERDALE
MYR,MCN,2,30,350,MACON,MYRTLE BEACH
FLO,MCN,22,30,306,MACON,FLORENCE
ILM,MCN,29,60,410,MACON,WILMINGTON
GNV,MCN,0,30,317,MACON,GAINESVILLE
VLD,MCN,25,90,223,MACON,VALDOSTA
BQK,MCN,2,30,265,MACON,BRUNSWICK
ABY,MCN,19,60,154,MACON,ALBANY
DHN,MCN,6,30,163,MACON,DOTHAN
ATL,MCN,36,240,34,MACON,ATLANTA
FAY,MCN,25,30,317,MACON,FAYETTEVILLE
OAJ,MCN,3,30,431,MACON,JACKSONVILLE
MEI,MCN,26,30,299,MACON,MERIDIAN
GPT,MCN,23,30,357,MACON,GULFPORT
ROA,MCN,12,30,380,MACON,ROANOKE
GTR,MCN,12,30,207,MACON,COLUMBUS
PHX,MCN,140,148,1641,MACON,PHOENIX
SAV,MCN,57,66,148,MACON,SAVANNAH
CRW,MCN,24,30,377,MACON,CHARLESTON
GSO,MCN,22,30,333,MACON,GREENSBORO
EVV,MCN,19,30,428,MACON,EVANSVILLE
PNS,MCN,20,66,259,MACON,PENSACOLA
AGS,MCN,28,30,108,MACON,AUGUSTA
PFN,MCN,56,88,209,MACON,PANAMA CITY
AVL,MCN,60,88,199,MACON,ASHEVILLE
JAN,MCN,4,30,376,MACON,JACKSON
LEX,MCN,11,30,372,MACON,LEXINGTON
TLH,MCN,6,30,164,MACON,TALLAHASSEE
JFK,MCN,64,107,774,MACON,NEW YORK
CLE,MCN,28,50,609,MACON,CLEVELAND
LYH,MCN,16,30,407,MACON,LYNCHBURG
EWR,MCN,103,103,761,MACON,NEWARK
MGM,MCN,47,66,162,MACON,MONTGOMERY
CHA,MCN,49,66,184,MACON,CHATTANOOGA
LFT,MCN,23,30,521,MACON,LAFAYETTE
ICT,MCN,35,50,851,MACON,WICHITA
FWA,MCN,43,50,577,MACON,FORT WAYNE
CRP,MCN,26,50,894,MACON,CORPUS CHRISTI
DAL,MCN,48,50,768,MACON,DALLAS
SAT,MCN,0,50,904,MACON,SAN ANTONIO
MCN,MCN,0,50,0,MACON,MACON
STL,MCN,65,131,562,MACON,ST. LOUIS
BUF,MCN,0,50,756,MACON,BUFFALO
CAE,MCN,18,40,170,MACON,COLUMBIA
BGR,WRB,101,173,1154,MACON,BANGOR
PHL,MCN,49,50,681,MACON,PHILADELPHIA
CVG,MCN,49,50,442,MACON,CINCINNATI
MDT,MCN,1,50,643,MACON,HARRISBURG
EYW,MCN,59,70,572,MACON,KEY WEST
JHW,MCN,0,50,695,MACON,JAMESTOWN
ABE,MCN,43,50,713,MACON,ALLENTOWN
CLT,MCN,0,50,233,MACON,CHARLOTTE
CAK,MCN,61,70,580,MACON,AKRON
YIP,MCN,0,50,658,MACON,DETROIT
IAD,MCN,45,50,553,MACON,WASHINGTON
SHV,MCN,39,40,594,MACON,SHREVEPORT
BTR,MCN,13,70,467,MACON,BATON ROUGE
AEX,MCN,47,50,531,MACON,ALEXANDRIA
ATW,MCN,39,50,840,MACON,APPLETON
BFI,MCN,0,50,2258,MACON,SEATTLE
TOL,MCN,44,50,613,MACON,TOLEDO
SFO,MCN,63,120,2203,MACON,SAN FRANCISCO
OKC,MCN,54,70,821,MACON,OKLAHOMA CITY
RFD,WRB,0,210,725,MACON,ROCKFORD
AVP,MCN,0,40,739,MACON,SCRANTON
IAH,MCN,46,50,716,MACON,HOUSTON
MSP,MCN,0,50,985,MACON,MINNEAPOLIS
SGF,MCN,21,50,635,MACON,SPRINGFIELD
CHO,MCN,0,50,476,MACON,CHARLOTTESVILLE
SLC,MCN,0,70,1659,MACON,SALT LAKE CITY
OMA,MCN,50,50,899,MACON,OMAHA
AUS,MCN,50,50,845,MACON,AUSTIN
BOS,MCN,138,142,961,MACON,BOSTON
MLU,MCN,35,50,489,MACON,MONROE
ORD,MCN,62,66,681,MACON,CHICAGO
SYR,MCN,34,50,827,MACON,SYRACUSE
PWM,MCN,48,70,1045,MACON,PORTLAND
RIC,MCN,42,50,488,MACON,RICHMOND
DSM,MCN,46,50,822,MACON,DES MOINES
ARA,MCN,0,100,520,MACON,NEW IBERIA
PIT,MCN,50,50,570,MACON,PITTSBURGH
ROC,MCN,49,50,789,MACON,ROCHESTER
MKE,MCN,62,76,744,MACON,MILWAUKEE
BHM,MCN,46,100,190,MACON,BIRMINGHAM
TCL,MCN,36,50,233,MACON,TUSCALOOSA
BMI,MCN,42,50,612,MACON,BLOOMINGTON
SBN,MCN,0,50,638,MACON,SOUTH BEND
ACY,MCN,20,50,689,MACON,ATLANTIC CITY
MOB,MCN,0,50,304,MACON,MOBILE
APF,MCN,32,40,465,MACON,NAPLES
DAY,MCN,43,50,498,MACON,DAYTON
ERI,MCN,0,50,675,MACON,ERIE
TUL,MCN,0,50,739,MACON,TULSA
PIA,MCN,0,50,643,MACON,PEORIA
CID,MCN,0,50,773,MACON,CEDAR RAPIDS
BTV,MCN,0,50,990,MACON,BURLINGTON
GSP,MCN,0,70,173,MACON,GREENVILLE
PVD,MCN,37,50,916,MACON,PROVIDENCE
RDU,MCN,42,50,354,MACON,RALEIGH
EWN,MCN,0,50,414,MACON,NEW BERN
AHN,MCN,13,171,88,MACON,ATHENS
EDF,WRB,0,50,3495,MACON,ANCHORAGE
BWI,MCN,0,50,594,MACON,BALTIMORE
DYS,WRB,31,120,949,MACON,ABILENE
BYH,MCN,0,264,425,MACON,BLYTHEVILLE
MCF,WRB,56,284,336,MACON,TAMPA
LAX,MIA,5492,9570,2342,MIAMI,LOS ANGELES
DCA,MIA,8486,13800,920,MIAMI,WASHINGTON
GNV,MIA,2208,5430,295,MIAMI,GAINESVILLE
BTR,MIA,24,300,738,MIAMI,BATON ROUGE
GRR,MIA,43,151,1215,MIAMI,GRAND RAPIDS
TLH,MIA,1756,3190,403,MIAMI,TALLAHASSEE
MSY,MIA,1263,3468,674,MIAMI,NEW ORLEANS
MSP,MIA,4342,7036,1501,MIAMI,MINNEAPOLIS
SAT,MIA,11,148,1143,MIAMI,SAN ANTONIO
ATL,MIA,4782,6447,595,MIAMI,ATLANTA
ORD,MIA,10794,14542,1197,MIAMI,CHICAGO
BUF,MIA,53,146,1185,MIAMI,BUFFALO
IAH,MIA,4231,12615,964,MIAMI,HOUSTON
DTW,MIA,2572,3660,1145,MIAMI,DETROIT
ELP,MIA,254,267,1632,MIAMI,EL PASO
SYR,MIA,8,302,1217,MIAMI,SYRACUSE
RIC,MIA,0,50,826,MIAMI,RICHMOND
SAV,MIA,108,185,440,MIAMI,SAVANNAH
TYS,MIA,80,100,724,MIAMI,KNOXVILLE
CLT,MIA,5232,8456,651,MIAMI,CHARLOTTE
CLE,MIA,2255,4230,1080,MIAMI,CLEVELAND
BWI,MIA,2828,3968,946,MIAMI,BALTIMORE
CMI,MIA,4,110,1085,MIAMI,CHAMPAIGN
AVL,MIA,92,103,678,MIAMI,ASHEVILLE
BHM,MIA,99,100,661,MIAMI,BIRMINGHAM
PIT,MIA,238,412,1013,MIAMI,PITTSBURGH
CVG,MIA,5861,13172,948,MIAMI,CINCINNATI
MDT,MIA,11,316,1013,MIAMI,HARRISBURG
CHS,MIA,0,99,490,MIAMI,CHARLESTON
FWA,MIA,0,50,1084,MIAMI,FORT WAYNE
GSO,MIA,122,151,710,MIAMI,GREENSBORO
STL,MIA,330,575,1068,MIAMI,ST. LOUIS
MKE,MIA,1773,3416,1259,MIAMI,MILWAUKEE
BNA,MIA,6919,12450,806,MIAMI,NASHVILLE
PNS,MIA,0,63,530,MIAMI,PENSACOLA
BOS,MIA,1998,2995,1258,MIAMI,BOSTON
TPA,MIA,7458,9388,204,MIAMI,TAMPA
BGR,MIA,929,960,1459,MIAMI,BANGOR
MIQ,MIA,0,50,1394,MIAMI,OMAHA
DAY,MIA,2032,3630,998,MIAMI,DAYTON
EWR,MIA,4061,7900,1086,MIAMI,NEWARK
DFW,MIA,2980,5238,1121,MIAMI,DALLAS
MCO,MIA,0,298,193,MIAMI,ORLANDO
MEM,MIA,4535,6000,860,MIAMI,MEMPHIS
JFK,MIA,85,197,1090,MIAMI,NEW YORK
BDL,MIA,116,555,1194,MIAMI,HARTFORD
EYW,MIA,6190,11658,126,MIAMI,KEY WEST
RDU,MIA,116,236,700,MIAMI,RALEIGH
SEA,MIA,0,50,2724,MIAMI,SEATTLE
CAE,MIA,146,149,563,MIAMI,COLUMBIA
JAX,MIA,2652,6050,335,MIAMI,JACKSONVILLE
PHL,MIA,49,141,1013,MIAMI,PHILADELPHIA
SFO,MIA,3720,5999,2585,MIAMI,SAN FRANCISCO
MYR,MIA,53,150,549,MIAMI,MYRTLE BEACH
OKC,MIA,114,128,1223,MIAMI,OKLAHOMA CITY
PBI,MIA,24,63,62,MIAMI,WEST PALM BEACH
FLL,MIA,13,179,21,MIAMI,FORT LAUDERDALE
COS,MIA,98,128,1679,MIAMI,COLORADO SPRINGS
SLC,MIA,19,302,2088,MIAMI,SALT LAKE CITY
SJC,MIA,120,388,2559,MIAMI,SAN JOSE
CMH,MIA,8,110,990,MIAMI,COLUMBUS
ROC,MIA,0,50,1204,MIAMI,ROCHESTER
DSM,MIA,96,100,1327,MIAMI,DES MOINES
GSP,MIA,0,115,638,MIAMI,GREENVILLE
MOB,MIA,0,97,590,MIAMI,MOBILE
LTS,MIA,0,354,1287,MIAMI,ALTUS
MIA,MIA,106,378,0,MIAMI,MIAMI
DOV,MIA,0,50,961,MIAMI,DOVER
AUS,MIA,0,50,1107,MIAMI,AUSTIN
TUL,MIA,0,50,1168,MIAMI,TULSA
IND,MIA,2358,3968,1021,MIAMI,INDIANAPOLIS
EVV,MIA,0,50,944,MIAMI,EVANSVILLE
SAN,MIA,2204,5728,2267,MIAMI,SAN DIEGO
PVD,MIA,91,118,1209,MIAMI,PROVIDENCE
ROA,MIA,0,50,795,MIAMI,ROANOKE
JAN,MIA,98,188,743,MIAMI,JACKSON
PHX,MIA,95,149,1972,MIAMI,PHOENIX
ICT,MIA,104,128,1295,MIAMI,WICHITA
MCI,MIA,107,110,1252,MIAMI,KANSAS CITY
LEX,MIA,0,50,881,MIAMI,LEXINGTON
HSV,MIA,0,50,722,MIAMI,HUNTSVILLE
ALB,MIA,49,146,1225,MIAMI,ALBANY
APF,MIA,2343,4719,96,MIAMI,NAPLES
LAS,MIA,34,660,2175,MIAMI,LAS VEGAS
